s_fpssm0,s_fpssm1,s_fpssm2,s_fpssm3,s_fpssm4,s_fpssm5,s_fpssm6,s_fpssm7,s_fpssm8,s_fpssm9,s_fpssm10,s_fpssm11,s_fpssm12,s_fpssm13,s_fpssm14,s_fpssm15,s_fpssm16,s_fpssm17,s_fpssm18,s_fpssm19,s_fpssm20,s_fpssm21,s_fpssm22,s_fpssm23,s_fpssm24,s_fpssm25,s_fpssm26,s_fpssm27,s_fpssm28,s_fpssm29,s_fpssm30,s_fpssm31,s_fpssm32,s_fpssm33,s_fpssm34,s_fpssm35,s_fpssm36,s_fpssm37,s_fpssm38,s_fpssm39,s_fpssm40,s_fpssm41,s_fpssm42,s_fpssm43,s_fpssm44,s_fpssm45,s_fpssm46,s_fpssm47,s_fpssm48,s_fpssm49,s_fpssm50,s_fpssm51,s_fpssm52,s_fpssm53,s_fpssm54,s_fpssm55,s_fpssm56,s_fpssm57,s_fpssm58,s_fpssm59,s_fpssm60,s_fpssm61,s_fpssm62,s_fpssm63,s_fpssm64,s_fpssm65,s_fpssm66,s_fpssm67,s_fpssm68,s_fpssm69,s_fpssm70,s_fpssm71,s_fpssm72,s_fpssm73,s_fpssm74,s_fpssm75,s_fpssm76,s_fpssm77,s_fpssm78,s_fpssm79,s_fpssm80,s_fpssm81,s_fpssm82,s_fpssm83,s_fpssm84,s_fpssm85,s_fpssm86,s_fpssm87,s_fpssm88,s_fpssm89,s_fpssm90,s_fpssm91,s_fpssm92,s_fpssm93,s_fpssm94,s_fpssm95,s_fpssm96,s_fpssm97,s_fpssm98,s_fpssm99,s_fpssm100,s_fpssm101,s_fpssm102,s_fpssm103,s_fpssm104,s_fpssm105,s_fpssm106,s_fpssm107,s_fpssm108,s_fpssm109,s_fpssm110,s_fpssm111,s_fpssm112,s_fpssm113,s_fpssm114,s_fpssm115,s_fpssm116,s_fpssm117,s_fpssm118,s_fpssm119,s_fpssm120,s_fpssm121,s_fpssm122,s_fpssm123,s_fpssm124,s_fpssm125,s_fpssm126,s_fpssm127,s_fpssm128,s_fpssm129,s_fpssm130,s_fpssm131,s_fpssm132,s_fpssm133,s_fpssm134,s_fpssm135,s_fpssm136,s_fpssm137,s_fpssm138,s_fpssm139,s_fpssm140,s_fpssm141,s_fpssm142,s_fpssm143,s_fpssm144,s_fpssm145,s_fpssm146,s_fpssm147,s_fpssm148,s_fpssm149,s_fpssm150,s_fpssm151,s_fpssm152,s_fpssm153,s_fpssm154,s_fpssm155,s_fpssm156,s_fpssm157,s_fpssm158,s_fpssm159,s_fpssm160,s_fpssm161,s_fpssm162,s_fpssm163,s_fpssm164,s_fpssm165,s_fpssm166,s_fpssm167,s_fpssm168,s_fpssm169,s_fpssm170,s_fpssm171,s_fpssm172,s_fpssm173,s_fpssm174,s_fpssm175,s_fpssm176,s_fpssm177,s_fpssm178,s_fpssm179,s_fpssm180,s_fpssm181,s_fpssm182,s_fpssm183,s_fpssm184,s_fpssm185,s_fpssm186,s_fpssm187,s_fpssm188,s_fpssm189,s_fpssm190,s_fpssm191,s_fpssm192,s_fpssm193,s_fpssm194,s_fpssm195,s_fpssm196,s_fpssm197,s_fpssm198,s_fpssm199,s_fpssm200,s_fpssm201,s_fpssm202,s_fpssm203,s_fpssm204,s_fpssm205,s_fpssm206,s_fpssm207,s_fpssm208,s_fpssm209,s_fpssm210,s_fpssm211,s_fpssm212,s_fpssm213,s_fpssm214,s_fpssm215,s_fpssm216,s_fpssm217,s_fpssm218,s_fpssm219,s_fpssm220,s_fpssm221,s_fpssm222,s_fpssm223,s_fpssm224,s_fpssm225,s_fpssm226,s_fpssm227,s_fpssm228,s_fpssm229,s_fpssm230,s_fpssm231,s_fpssm232,s_fpssm233,s_fpssm234,s_fpssm235,s_fpssm236,s_fpssm237,s_fpssm238,s_fpssm239,s_fpssm240,s_fpssm241,s_fpssm242,s_fpssm243,s_fpssm244,s_fpssm245,s_fpssm246,s_fpssm247,s_fpssm248,s_fpssm249,s_fpssm250,s_fpssm251,s_fpssm252,s_fpssm253,s_fpssm254,s_fpssm255,s_fpssm256,s_fpssm257,s_fpssm258,s_fpssm259,s_fpssm260,s_fpssm261,s_fpssm262,s_fpssm263,s_fpssm264,s_fpssm265,s_fpssm266,s_fpssm267,s_fpssm268,s_fpssm269,s_fpssm270,s_fpssm271,s_fpssm272,s_fpssm273,s_fpssm274,s_fpssm275,s_fpssm276,s_fpssm277,s_fpssm278,s_fpssm279,s_fpssm280,s_fpssm281,s_fpssm282,s_fpssm283,s_fpssm284,s_fpssm285,s_fpssm286,s_fpssm287,s_fpssm288,s_fpssm289,s_fpssm290,s_fpssm291,s_fpssm292,s_fpssm293,s_fpssm294,s_fpssm295,s_fpssm296,s_fpssm297,s_fpssm298,s_fpssm299,s_fpssm300,s_fpssm301,s_fpssm302,s_fpssm303,s_fpssm304,s_fpssm305,s_fpssm306,s_fpssm307,s_fpssm308,s_fpssm309,s_fpssm310,s_fpssm311,s_fpssm312,s_fpssm313,s_fpssm314,s_fpssm315,s_fpssm316,s_fpssm317,s_fpssm318,s_fpssm319,s_fpssm320,s_fpssm321,s_fpssm322,s_fpssm323,s_fpssm324,s_fpssm325,s_fpssm326,s_fpssm327,s_fpssm328,s_fpssm329,s_fpssm330,s_fpssm331,s_fpssm332,s_fpssm333,s_fpssm334,s_fpssm335,s_fpssm336,s_fpssm337,s_fpssm338,s_fpssm339,s_fpssm340,s_fpssm341,s_fpssm342,s_fpssm343,s_fpssm344,s_fpssm345,s_fpssm346,s_fpssm347,s_fpssm348,s_fpssm349,s_fpssm350,s_fpssm351,s_fpssm352,s_fpssm353,s_fpssm354,s_fpssm355,s_fpssm356,s_fpssm357,s_fpssm358,s_fpssm359,s_fpssm360,s_fpssm361,s_fpssm362,s_fpssm363,s_fpssm364,s_fpssm365,s_fpssm366,s_fpssm367,s_fpssm368,s_fpssm369,s_fpssm370,s_fpssm371,s_fpssm372,s_fpssm373,s_fpssm374,s_fpssm375,s_fpssm376,s_fpssm377,s_fpssm378,s_fpssm379,s_fpssm380,s_fpssm381,s_fpssm382,s_fpssm383,s_fpssm384,s_fpssm385,s_fpssm386,s_fpssm387,s_fpssm388,s_fpssm389,s_fpssm390,s_fpssm391,s_fpssm392,s_fpssm393,s_fpssm394,s_fpssm395,s_fpssm396,s_fpssm397,s_fpssm398,s_fpssm399,target
80,9,7,19,25,15,28,9,15,7,8,12,11,8,22,20,5,16,7,9,4,22,4,4,9,8,6,2,20,1,3,11,5,2,2,0,1,14,7,0,4,5,27,17,5,5,3,0,10,0,0,3,2,3,4,9,3,5,5,1,1,6,10,40,3,8,17,2,8,0,0,3,2,3,2,3,1,6,2,0,12,1,2,0,32,3,2,0,9,5,0,0,3,7,0,2,2,4,10,8,3,13,6,8,8,20,12,0,20,0,1,9,6,4,5,3,2,17,6,0,1,14,7,32,8,21,55,5,19,5,2,12,7,0,7,4,3,16,5,1,13,4,25,22,22,8,3,129,8,3,0,5,7,5,3,13,1,12,4,4,5,1,5,1,9,5,6,8,35,3,5,0,2,10,0,2,4,1,17,0,1,1,4,2,9,3,3,0,5,46,26,1,14,15,0,0,0,12,6,21,10,7,3,3,34,5,5,0,26,75,135,6,69,60,3,2,4,52,22,38,2,26,4,4,5,10,15,5,15,2,1,35,2,3,8,3,2,9,4,1,1,0,0,0,3,1,2,0,4,12,2,0,17,7,1,0,4,4,5,6,0,1,2,2,1,0,0,0,8,2,0,0,0,16,0,0,3,6,16,1,3,5,2,12,8,5,12,3,14,5,2,5,12,1,56,7,0,17,5,1,20,14,6,6,25,11,16,8,12,1,0,14,9,2,12,46,19,4,4,5,15,5,5,7,16,4,6,1,10,8,3,6,3,1,3,13,31,8,5,10,0,1,0,2,3,0,1,0,3,5,4,0,2,13,0,2,3,13,11,0,2,0,0,1,6,3,0,0,11,1,3,0,3,10,0,0,0,12,16,1,9,3,0,3,18,2,2,1,11,57,29,2,26,9,7,3,10,22,8,77,1
87,14,6,9,13,12,17,24,12,4,4,23,14,4,14,25,6,20,11,3,1,124,10,25,11,32,14,0,23,4,3,45,12,4,14,7,5,21,10,6,6,10,48,18,4,13,9,5,23,1,2,17,0,5,5,12,6,10,4,2,2,6,28,120,4,6,45,19,17,2,0,11,3,5,10,8,12,8,5,2,5,0,0,0,29,1,0,3,6,5,6,0,12,7,1,3,2,12,7,3,10,14,8,16,10,60,40,0,19,0,2,28,2,1,7,5,2,5,4,2,12,26,13,74,14,54,198,4,39,3,0,35,8,6,24,6,6,31,9,2,14,6,6,19,11,5,17,127,8,0,1,10,1,5,5,13,5,8,10,0,3,14,8,11,1,9,15,0,54,0,2,9,9,4,7,1,2,7,12,1,2,20,3,3,21,8,5,0,24,84,31,12,38,27,2,7,7,38,8,52,10,17,5,4,25,11,7,1,17,75,135,9,79,44,18,2,17,48,19,43,2,65,15,18,10,30,46,7,15,11,5,110,17,3,11,8,10,17,3,5,0,2,3,1,15,5,0,1,15,21,29,1,62,13,6,0,3,25,7,11,1,1,1,3,5,2,5,0,13,12,24,3,23,91,4,0,0,50,45,7,11,2,4,6,12,2,8,4,14,3,1,11,6,6,108,2,4,15,10,8,20,7,16,18,9,8,26,8,18,1,3,13,9,1,10,49,21,9,2,0,17,15,10,14,25,14,20,3,26,10,9,17,22,8,14,20,76,21,8,15,0,0,0,0,5,0,0,0,2,3,1,2,4,4,0,1,0,9,4,2,3,1,0,0,12,5,7,2,39,9,5,1,6,44,3,4,1,38,77,5,12,5,5,3,21,3,12,7,12,42,23,6,24,7,8,3,2,24,12,50,1
31,5,6,8,23,9,12,4,14,9,2,7,9,4,8,9,3,6,3,9,3,78,4,3,12,10,11,4,9,0,1,28,1,3,1,3,6,18,7,0,0,7,55,22,6,6,4,3,18,0,0,6,3,2,3,11,3,5,3,0,1,7,34,88,10,16,40,3,23,0,0,10,4,5,12,5,3,13,7,0,1,3,2,2,17,3,0,0,4,2,3,3,4,0,1,1,1,3,2,0,1,19,13,6,5,43,17,0,8,0,1,18,3,1,3,5,1,8,4,0,2,17,8,27,6,26,71,3,10,1,0,18,4,0,12,2,3,14,10,0,11,1,14,12,17,2,4,111,18,4,1,5,7,8,5,11,3,22,10,4,4,5,9,4,13,7,1,4,44,4,4,8,12,4,6,4,2,7,4,2,0,1,0,2,13,6,0,0,0,47,23,0,22,6,2,0,2,6,1,29,4,2,4,5,30,7,3,0,17,43,109,4,65,45,6,3,6,34,23,13,2,24,10,8,5,25,17,6,19,1,1,51,5,2,5,4,2,6,2,1,0,1,3,3,4,4,3,0,3,13,14,1,31,4,0,0,1,10,2,7,3,2,0,0,8,1,0,0,5,11,12,0,9,71,3,2,0,28,42,7,1,7,6,5,4,2,5,1,9,2,2,10,0,2,85,10,1,3,4,1,7,4,19,15,24,5,8,4,9,0,0,13,2,2,1,55,26,5,4,1,0,5,11,13,12,7,7,2,6,2,3,8,4,2,6,12,41,5,5,2,0,1,0,0,0,0,0,0,4,2,1,0,5,9,0,0,0,11,6,1,0,0,0,1,3,0,0,0,10,4,4,1,3,22,2,0,0,25,26,1,4,3,1,2,21,0,9,0,4,51,20,1,23,10,0,0,3,6,10,54,1
37,8,6,3,7,7,2,8,11,7,8,5,9,7,11,19,8,11,5,12,3,71,12,4,9,15,6,4,31,2,5,27,6,2,7,9,9,18,14,2,0,3,64,23,7,2,5,1,22,1,2,4,1,5,5,12,4,10,12,0,0,1,22,68,5,5,9,1,11,0,0,2,2,1,8,5,7,7,6,0,1,0,0,0,2,0,0,0,4,0,0,0,0,4,0,0,0,6,6,1,0,17,15,10,7,47,19,2,31,0,0,18,5,2,2,0,6,6,3,0,2,9,8,7,3,9,33,1,10,1,1,8,3,2,3,7,1,4,4,1,13,7,23,10,15,4,6,97,15,1,3,5,4,10,4,14,11,6,3,0,0,7,8,1,2,8,3,0,29,2,1,3,1,2,4,2,1,6,7,1,0,3,0,1,9,2,2,0,10,51,24,2,21,14,3,0,5,19,13,33,3,7,3,2,20,3,5,0,16,28,100,6,59,37,8,6,6,27,19,28,0,34,8,5,2,14,9,1,28,0,1,36,8,2,4,0,1,25,3,0,1,5,2,2,5,4,6,0,4,8,11,6,32,7,3,1,5,6,7,5,0,0,0,2,6,0,0,0,11,5,8,0,23,52,7,0,2,25,32,5,4,13,11,5,4,11,5,2,22,0,2,14,5,3,144,15,11,11,14,0,7,11,18,12,24,12,10,3,20,1,0,10,9,4,23,49,34,20,8,2,2,13,10,1,3,5,5,1,5,3,4,10,6,0,11,7,29,7,5,3,0,0,0,0,1,0,0,0,0,0,4,0,1,10,0,0,0,4,1,0,0,7,9,2,15,1,0,0,33,2,2,1,8,37,6,1,0,28,57,2,7,3,3,1,9,4,1,0,8,36,20,4,15,10,12,4,6,8,16,62,1
68,6,2,12,4,9,24,19,0,8,8,12,8,1,15,8,4,3,1,5,12,55,3,13,1,16,21,1,23,2,2,18,0,2,9,3,4,5,3,3,1,6,9,13,0,1,3,3,3,4,0,3,0,0,0,4,2,0,3,4,6,7,5,30,0,5,25,0,5,0,1,7,0,0,18,1,3,0,4,0,12,5,2,0,14,1,0,3,0,5,2,3,4,6,0,8,8,0,2,6,11,18,2,11,0,29,21,0,4,10,4,20,6,2,0,2,1,4,0,8,16,17,6,34,0,26,58,2,3,2,4,12,2,0,5,5,0,3,9,0,13,8,6,14,2,4,4,60,4,0,0,10,1,0,5,3,0,0,0,1,2,8,1,3,0,1,2,5,16,2,6,0,6,5,0,2,3,1,3,3,2,2,0,0,7,0,0,0,3,54,31,0,14,7,4,2,2,8,8,45,11,16,5,3,14,2,2,6,5,63,105,6,56,34,7,4,13,13,11,41,11,31,0,16,2,19,26,4,2,4,2,37,2,0,1,7,6,2,1,4,7,2,0,0,2,5,0,0,7,16,19,0,37,14,0,0,3,11,15,10,9,1,0,0,5,1,0,1,8,2,7,4,3,14,3,0,0,11,16,1,10,6,1,9,0,4,13,10,0,8,0,9,1,4,71,2,1,6,4,10,33,30,6,20,3,16,19,12,9,1,2,22,5,3,9,42,28,3,5,2,11,0,1,5,0,2,5,4,0,2,9,2,5,0,0,3,15,0,0,8,0,2,0,0,1,0,1,0,0,2,2,2,2,2,0,0,0,16,3,2,2,2,1,0,0,1,0,0,15,4,4,1,7,12,4,0,0,13,20,7,25,3,1,7,26,0,0,6,0,55,24,2,18,7,2,0,7,18,12,77,1
130,6,2,7,14,4,9,24,10,7,13,1,12,3,19,9,5,3,1,23,7,54,3,1,0,10,6,3,14,1,2,19,2,1,9,2,6,0,5,5,6,5,10,15,0,2,5,6,5,0,5,4,2,1,7,2,3,0,5,1,11,3,8,27,1,7,24,6,2,0,0,1,0,0,7,11,6,0,0,0,7,3,1,0,6,0,0,0,5,7,1,2,1,2,5,1,1,4,6,7,12,17,1,8,3,24,28,1,3,1,4,4,3,4,6,2,4,8,0,6,20,19,8,32,0,20,70,8,1,0,0,4,0,0,10,4,1,0,2,3,25,7,4,14,2,3,1,106,10,1,6,3,5,1,10,15,2,8,1,1,2,8,4,25,0,5,13,6,21,0,1,2,1,4,0,4,1,1,1,0,6,2,0,0,1,6,9,0,1,67,38,2,24,18,12,1,12,10,12,74,15,11,1,3,11,4,3,2,3,34,76,6,30,18,6,7,16,18,5,32,12,53,5,14,0,28,23,9,9,2,1,40,3,0,11,2,6,0,0,5,0,0,0,0,1,0,0,1,2,7,10,0,17,7,3,3,2,1,1,8,3,7,1,3,4,0,2,3,15,12,13,1,17,39,4,0,3,11,12,9,5,4,1,2,0,2,0,0,1,1,7,0,3,7,36,1,2,0,4,5,37,35,5,12,3,8,13,16,11,7,7,10,3,2,15,19,22,8,1,4,10,6,5,3,1,6,4,7,12,15,15,1,11,4,10,16,32,7,3,18,1,3,0,0,0,1,1,0,0,0,0,3,0,0,0,0,1,2,0,0,6,1,0,0,0,1,0,3,11,3,10,2,10,38,0,0,0,22,30,4,18,7,2,7,19,0,5,2,3,66,30,0,10,24,3,3,7,8,14,133,1
135,28,16,25,36,24,26,23,22,18,9,18,14,14,34,53,21,17,13,27,8,114,10,8,8,27,19,1,31,4,3,46,12,3,14,15,9,11,6,2,10,15,103,40,10,25,32,11,34,7,3,17,7,5,23,36,18,3,9,5,9,23,39,121,2,26,64,18,32,0,3,15,4,2,25,12,5,10,4,0,14,0,0,6,10,0,1,1,0,6,1,0,4,3,6,6,3,1,0,12,7,22,11,16,4,56,25,9,21,12,10,23,5,6,14,7,7,6,5,8,33,25,22,53,10,45,105,14,20,4,7,26,13,7,17,19,9,10,3,4,23,13,31,34,11,12,17,234,20,5,2,8,0,4,26,19,7,13,6,6,2,8,11,5,2,7,11,1,30,1,0,5,3,13,6,4,1,14,13,0,13,16,10,2,39,4,1,10,22,149,103,5,49,31,6,5,8,29,9,100,10,10,4,10,33,14,10,11,26,131,204,11,100,57,15,3,11,32,29,78,18,91,14,26,17,35,35,27,34,6,9,106,15,6,60,15,17,9,7,6,1,1,2,0,8,2,0,0,3,7,14,1,19,9,2,2,3,3,2,5,5,3,7,5,10,4,6,0,20,25,37,0,16,93,5,2,6,16,40,17,17,11,1,10,8,9,9,5,13,8,4,14,0,7,135,5,4,4,5,12,47,46,27,51,31,26,34,28,61,10,13,19,22,13,41,106,47,27,18,13,25,13,21,22,9,13,12,26,25,5,2,6,6,7,15,38,74,6,12,8,2,4,0,0,1,6,0,0,1,5,1,0,3,10,0,0,0,25,13,8,8,16,6,6,8,12,11,6,45,13,17,11,7,62,10,2,9,41,88,9,38,24,3,13,36,4,8,3,22,133,66,6,47,12,22,11,23,18,15,161,1
53,10,0,3,5,12,9,19,15,1,5,6,5,3,8,18,8,12,2,9,9,55,1,10,1,22,15,1,14,0,2,31,3,2,8,3,2,7,1,0,12,36,119,46,3,44,22,16,51,4,3,7,7,8,23,30,14,14,12,4,4,2,14,47,1,4,21,4,3,1,0,5,0,0,2,2,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,8,0,53,18,0,12,3,1,11,3,2,11,13,3,1,9,0,5,10,14,30,0,22,67,2,18,0,0,17,0,0,7,7,0,8,0,0,14,6,6,7,6,6,3,56,9,1,0,6,0,0,10,9,3,2,3,2,3,9,3,4,0,7,5,0,35,2,3,1,3,9,7,1,2,15,8,2,4,5,1,5,7,9,3,1,10,45,23,9,29,9,4,3,2,12,5,22,5,3,1,0,12,3,2,2,5,30,67,6,35,21,8,1,1,14,13,20,11,29,3,7,0,11,13,0,6,0,0,31,0,0,7,2,1,2,0,0,2,4,1,2,6,3,2,4,3,7,9,5,23,2,0,1,3,5,1,7,0,10,0,2,6,5,0,1,26,10,15,1,16,59,8,1,2,33,38,7,3,2,3,2,2,3,3,5,3,0,2,1,2,1,37,3,2,0,0,0,25,5,6,6,8,13,19,11,9,1,1,11,0,1,19,43,14,8,12,4,4,7,3,4,3,9,3,2,7,4,6,6,6,3,6,13,34,7,6,6,0,0,0,0,2,0,0,0,3,0,1,0,2,9,4,0,0,8,22,0,4,5,1,6,0,2,1,6,12,6,7,5,3,19,2,1,1,11,17,1,21,5,0,3,12,2,1,1,2,39,35,3,22,18,8,0,4,21,15,54,1
34,4,5,8,0,11,9,5,4,3,3,5,3,4,12,22,10,2,4,2,1,48,2,0,0,11,0,0,5,0,0,31,0,0,4,7,0,2,3,0,3,5,27,17,0,7,6,2,6,0,0,3,1,0,10,17,6,0,0,0,2,4,15,64,2,9,19,3,11,0,1,3,4,3,25,23,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,11,0,15,17,0,2,0,1,5,1,0,9,6,3,0,0,0,7,7,9,33,1,29,52,1,13,2,2,9,5,1,24,16,5,2,1,1,3,0,3,5,0,5,2,13,2,1,2,0,2,2,4,5,0,0,0,0,0,3,2,1,0,1,4,0,10,0,0,2,0,0,6,5,1,0,0,0,3,1,1,0,0,2,1,0,3,10,7,1,4,2,10,6,3,0,0,8,7,5,0,1,0,7,7,1,0,13,60,8,30,11,16,16,6,13,0,9,10,25,8,9,1,21,21,4,13,0,0,35,3,0,21,30,7,2,0,0,2,0,2,0,0,2,0,0,0,7,10,0,21,2,1,0,0,0,0,5,2,0,0,0,2,2,0,1,1,1,5,0,10,38,6,3,2,1,8,2,4,5,3,2,0,2,1,0,0,1,0,3,5,0,99,17,8,1,0,1,16,2,18,18,8,13,10,4,17,0,1,3,3,6,42,81,32,0,2,1,9,5,7,7,1,5,1,0,7,0,2,0,3,10,26,37,45,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,5,0,1,3,0,7,0,0,0,0,3,1,3,2,1,8,2,12,0,6,3,3,2,1,2,4,11,10,0,9,4,21,20,16,2,1,26,1
24,3,2,3,18,1,4,7,6,1,4,2,4,1,5,10,4,8,3,7,2,43,3,3,6,10,10,0,19,4,8,14,3,1,2,4,2,8,6,4,0,1,32,19,13,6,8,11,11,2,0,1,4,4,8,9,3,20,5,1,4,9,26,90,16,9,45,6,31,0,1,10,7,2,25,30,12,13,8,0,1,3,0,0,8,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,8,2,3,3,13,12,0,15,0,0,4,2,3,3,0,0,16,8,0,6,23,4,20,14,21,38,5,18,0,3,25,5,8,10,9,6,20,7,1,3,6,6,9,16,4,6,50,19,0,0,4,1,1,14,6,2,12,6,0,0,4,6,1,0,1,1,1,11,0,0,3,0,0,0,0,0,0,1,0,0,1,2,1,13,3,1,0,8,46,20,0,17,16,4,0,1,16,14,31,1,8,5,4,16,12,10,2,21,43,74,5,41,19,12,6,16,26,24,16,1,22,12,15,20,20,22,1,23,4,3,36,10,4,8,4,6,23,7,2,0,3,1,0,4,8,5,0,3,10,8,2,21,11,0,0,1,4,1,11,0,1,2,0,10,0,2,1,3,21,24,2,17,51,0,1,3,9,12,7,1,1,4,6,7,4,6,0,7,0,0,3,2,0,35,3,1,3,1,1,10,10,7,20,29,12,11,10,21,2,0,18,7,2,22,41,15,18,9,4,0,11,10,2,17,9,2,0,5,8,1,7,8,6,5,15,24,11,5,6,0,0,0,0,0,1,0,0,2,0,0,1,1,6,0,0,0,10,4,0,0,5,0,0,13,3,0,0,22,0,5,1,4,28,7,3,0,15,40,1,4,2,5,1,10,0,2,0,6,9,10,5,13,21,9,1,1,17,15,9,1
55,10,2,1,14,20,10,52,21,14,12,17,0,1,1,22,15,3,2,23,6,24,2,6,2,8,2,7,6,1,3,16,0,0,4,3,6,9,5,1,1,10,34,20,0,16,8,6,5,0,0,14,0,0,0,16,19,11,6,0,9,2,18,24,2,6,5,8,5,0,0,3,0,0,7,19,13,1,1,1,0,0,0,0,6,2,3,0,0,2,2,0,0,0,0,0,0,0,0,7,3,12,10,7,3,19,6,8,5,0,0,14,0,0,1,9,12,6,2,0,0,5,2,1,0,12,15,3,5,4,3,7,0,0,4,5,5,0,0,1,6,4,9,7,1,6,0,83,4,0,0,7,0,0,0,20,6,0,0,0,0,1,3,4,0,0,0,2,4,0,0,0,0,0,1,1,0,7,2,0,15,9,0,0,8,4,5,0,1,50,18,9,0,0,0,2,4,9,3,41,22,8,0,0,13,8,5,4,4,63,71,3,5,13,1,0,13,7,5,73,1,34,24,11,4,21,10,7,12,0,0,49,0,0,0,8,13,5,2,0,2,12,4,0,1,4,3,0,3,8,8,7,9,0,0,1,6,7,4,7,6,2,4,0,1,0,0,7,2,1,21,0,0,17,0,1,8,9,4,5,0,0,1,2,6,2,2,11,3,0,2,1,0,0,4,4,7,0,0,0,8,6,13,16,2,9,3,12,2,5,5,7,0,0,3,45,29,6,2,3,13,13,13,16,9,10,5,1,6,5,3,9,3,0,12,28,46,13,11,2,0,5,0,3,0,0,0,1,3,3,0,0,1,0,0,5,4,14,8,0,0,10,0,0,0,13,3,0,5,5,5,9,1,1,0,7,5,1,3,2,6,7,2,0,3,20,6,0,0,51,26,10,0,1,0,9,16,10,4,34,1
21,4,3,1,7,6,3,3,0,0,1,6,0,0,12,8,1,0,0,2,0,11,1,0,0,1,0,0,2,0,0,5,1,1,1,0,0,1,1,0,0,1,14,5,0,0,1,0,1,1,0,3,1,0,0,3,0,1,0,2,0,1,1,10,0,0,5,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,6,3,0,4,0,1,6,1,0,0,5,0,0,0,0,0,3,1,15,1,5,16,0,2,0,0,4,0,0,0,0,0,0,0,0,2,0,5,1,9,0,0,45,2,0,0,3,1,0,0,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,10,0,9,6,0,0,0,0,3,19,0,0,3,1,5,0,1,0,2,24,36,2,19,9,5,1,4,7,8,10,1,22,8,2,0,9,8,1,4,0,0,49,1,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,6,0,1,0,0,11,0,0,0,5,10,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,13,3,0,2,0,0,19,1,6,4,6,6,5,1,2,0,1,3,3,0,0,26,6,0,3,2,4,4,1,0,2,0,0,0,3,8,0,3,2,0,0,6,13,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,2,0,15,5,1,1,4,3,0,0,0,1,25,5,6,1,0,1,8,2,2,0,1,15,8,6,13,2,3,0,2,0,0,17,1
82,9,3,6,38,9,12,16,11,13,7,14,16,4,3,16,12,18,10,17,2,41,8,2,16,13,4,1,30,1,3,15,17,4,2,2,0,23,11,1,0,7,35,28,6,8,16,12,14,0,0,8,3,1,4,8,11,4,3,0,2,14,26,67,12,17,43,5,23,1,2,16,6,1,9,8,8,15,12,1,4,0,0,0,9,0,0,0,0,3,4,0,7,0,0,1,3,6,0,5,9,12,8,10,7,33,25,3,27,3,2,21,7,5,5,6,0,8,6,1,3,20,11,39,14,28,63,5,29,0,4,19,9,2,3,3,4,16,8,2,14,7,13,10,29,3,4,133,20,5,2,4,13,2,11,17,14,31,3,2,1,6,0,1,6,1,4,1,18,0,0,4,1,0,2,2,1,0,4,0,8,8,0,3,38,6,2,0,16,93,57,4,40,24,8,0,4,16,13,55,4,5,3,1,31,6,0,0,12,43,76,0,56,32,12,2,2,34,16,25,5,47,11,20,15,23,25,6,33,1,1,67,9,1,14,11,5,16,11,2,1,3,0,1,9,6,3,0,8,12,15,0,29,9,0,1,2,9,4,9,0,0,2,1,13,2,0,4,13,16,27,0,24,77,3,2,0,43,30,7,4,8,7,10,12,6,7,5,23,7,7,15,12,4,95,13,4,9,5,1,14,8,11,8,20,10,19,9,14,7,1,11,6,1,7,33,5,6,2,3,5,7,5,13,32,8,13,6,15,5,1,7,14,0,7,20,60,9,3,10,0,0,0,1,6,1,1,0,7,0,0,0,3,7,1,0,0,17,8,0,5,3,1,2,19,0,1,0,22,6,7,2,16,28,0,1,1,31,32,4,9,6,1,4,32,2,3,1,6,35,25,4,29,6,7,3,7,7,5,42,1
